#PATH-POINTS-START Path 1
-58, 0, 50.398
-56, 0, 45.078
-54, 0, 39.038
-52, 0, 31.875
-50, 0, 22.539
-48, 0, 0
-48, 0, 0
-28, 0, 0
endData
#PATH-POINTS-START Path 2
-48, 0, 69.593
-48, 2, 66.63
-48, 4, 63.53
-48, 6, 60.269
-48, 8, 56.823
-48, 10, 53.153
-48, 12, 49.21
-48, 14, 44.922
-48, 16, 40.18
-48, 18, 34.797
-48, 20, 28.411
-48, 22, 20.09
-48, 24, 0
-48, 24, 0
-48, 44, 0
endData
#PATH-POINTS-START Path 3
-48, 24, 78.077
-46, 24, 74.753
-44, 24, 71.274
-42, 24, 67.617
-40, 24, 63.75
-38, 24, 59.632
-36, 24, 55.209
-34, 24, 50.398
-32, 24, 45.078
-30, 24, 39.038
-28, 24, 31.875
-26, 24, 22.539
-24, 24, 0
-24, 24, 0
-4, 24, 0
endData
#PATH-POINTS-START Path 4
-24, 24, 87.293
-22.4, 25.2, 84.333
-20.8, 26.4, 81.265
-19.2, 27.6, 78.077
-17.6, 28.8, 74.753
-16, 30, 71.274
-14.4, 31.2, 67.617
-12.8, 32.4, 63.75
-11.2, 33.6, 59.632
-9.6, 34.8, 55.209
-8, 36, 50.398
-6.4, 37.2, 45.078
-4.8, 38.4, 39.038
-3.2, 39.6, 31.875
-1.6, 40.8, 22.539
0, 42, 0
0, 42, 0
16, 54, 0
endData
#PATH-POINTS-START Path 5
0, 42, 67.617
0, 44, 63.75
0, 46, 59.632
0, 48, 55.209
0, 50, 50.398
0, 52, 45.078
0, 54, 39.038
0, 56, 31.875
0, 58, 22.539
0, 60, 0
0, 60, 0
0, 80, 0
endData
#PATH-POINTS-START Path 6
0, 60, 55.209
0, 58, 50.398
0, 56, 45.078
0, 54, 39.038
0, 52, 31.875
0, 50, 22.539
0, 48, 0
0, 48, 0
0, 28, 0
endData
#PATH-POINTS-START Path 7
0, 48, 95
-2, 48, 94.995
-4, 48, 92.909
-6, 48, 90.774
